uid,interest
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,🤑 See my spending habits
1bba933e-800d-4993-b4b7-1c28b06a4d92,🤑 See my spending habits
22e95cbb-5472-424c-b732-e64eeea7062a,🤑 See my spending habits
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,🤑 See my spending habits
eaf1456d-fe19-460b-9b98-ef860fe7b228,🤑 See my spending habits
5a1e85f2-a569-464d-a60d-edd981af3e59,🤑 See my spending habits
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,🤑 See my spending habits
542bfa13-54c7-4d79-beb3-b2f797a00c9d,🤑 See my spending habits
c7a76177-e727-4cf7-afc5-ba79f3d72f20,🤑 See my spending habits
c98b532c-9f19-4a9d-94bf-9478d91898a9,🤑 See my spending habits
7888c4c6-ea7a-4081-9a00-8f62b99d16c9,🤑 See my spending habits
7ba26aee-3c3c-49ff-8232-8c207a4512e0,🤑 See my spending habits
417aa9c3-d493-47ae-a08c-92e50e8baf4f,🤑 See my spending habits
df1f963a-7a0c-438b-918c-af3dc205d0fb,🤑 See my spending habits
e8eccc45-fbfe-488b-a597-60860a21c72e,🤑 See my spending habits
af68a333-79aa-40ae-92ea-5e49e20b958c,🤑 See my spending habits
e8720508-b732-4e58-82a6-17cfa094012b,🤑 See my spending habits
84b367ec-3f12-4040-a0ee-ed37d924f80d,🤑 See my spending habits
61277ad3-1a9d-47fa-882b-cc79a8f4ad14,🤑 See my spending habits
697df7e0-1419-4d7b-a332-5e783e5340a9,📈 Credit score improvement
78453eea-170f-4fc8-8ec7-acf44e171650,📈 Credit score improvement
48e0b7d4-30dc-4871-88a7-465648af9056,📈 Credit score improvement
e04d1ff1-b371-4fea-9abe-7217b3af9c80,📈 Credit score improvement
c95a92b9-83cb-4b27-be40-ec99893a09a2,📈 Credit score improvement
77e0eea7-d977-4c80-8ee4-cbe6a2bddbb8,📈 Credit score improvement
7e253d80-cd1f-4061-8340-b63cbf7dc17c,📈 Credit score improvement
fd1b2bb5-64ca-4542-81d2-b37815973a64,📈 Credit score improvement
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,📈 Credit score improvement
f48fb093-5161-4314-9fc6-0e62d60cde98,📈 Credit score improvement
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,📈 Credit score improvement
f847780c-34a5-4365-a9a2-917fc7be46ff,📈 Credit score improvement
82b15fce-7b00-4048-a670-9a87d7fb6eeb,📈 Credit score improvement
1bba933e-800d-4993-b4b7-1c28b06a4d92,💵 Paying Down Debt
22e95cbb-5472-424c-b732-e64eeea7062a,💵 Paying Down Debt
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,💵 Paying Down Debt
eaf1456d-fe19-460b-9b98-ef860fe7b228,💵 Paying Down Debt
5a1e85f2-a569-464d-a60d-edd981af3e59,💵 Paying Down Debt
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,💵 Paying Down Debt
542bfa13-54c7-4d79-beb3-b2f797a00c9d,💵 Paying Down Debt
c7a76177-e727-4cf7-afc5-ba79f3d72f20,💵 Paying Down Debt
c98b532c-9f19-4a9d-94bf-9478d91898a9,💵 Paying Down Debt
7888c4c6-ea7a-4081-9a00-8f62b99d16c9,💵 Paying Down Debt
7ba26aee-3c3c-49ff-8232-8c207a4512e0,💵 Paying Down Debt
417aa9c3-d493-47ae-a08c-92e50e8baf4f,💵 Paying Down Debt
0ba4476e-a542-470c-a41d-2a8c6a45ddc1,💰 General budgeting
4fd9b407-1238-44c5-ad40-052058484364,💰 General budgeting
697df7e0-1419-4d7b-a332-5e783e5340a9,💰 General budgeting
78453eea-170f-4fc8-8ec7-acf44e171650,💰 General budgeting
48e0b7d4-30dc-4871-88a7-465648af9056,💰 General budgeting
e04d1ff1-b371-4fea-9abe-7217b3af9c80,💰 General budgeting
c95a92b9-83cb-4b27-be40-ec99893a09a2,💰 General budgeting
77e0eea7-d977-4c80-8ee4-cbe6a2bddbb8,💰 General budgeting
7e253d80-cd1f-4061-8340-b63cbf7dc17c,💰 General budgeting
fd1b2bb5-64ca-4542-81d2-b37815973a64,💰 General budgeting
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,💰 General budgeting
f48fb093-5161-4314-9fc6-0e62d60cde98,💰 General budgeting
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,💰 General budgeting
f847780c-34a5-4365-a9a2-917fc7be46ff,💰 General budgeting
82b15fce-7b00-4048-a670-9a87d7fb6eeb,💰 General budgeting
f145f774-7eed-429d-9cc5-1f20ba144be4,💰 General budgeting
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,💰 General budgeting
587caef0-3c16-445f-88b0-d252a67475c7,💰 General budgeting
8887103e-1841-4cb5-9d31-7d03078dc4cd,💰 General budgeting
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,💰 General budgeting
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,💰 General budgeting
1bba933e-800d-4993-b4b7-1c28b06a4d92,💰 General budgeting
22e95cbb-5472-424c-b732-e64eeea7062a,💰 General budgeting
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,💰 General budgeting
eaf1456d-fe19-460b-9b98-ef860fe7b228,💰 General budgeting
5a1e85f2-a569-464d-a60d-edd981af3e59,💰 General budgeting
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,💰 General budgeting
542bfa13-54c7-4d79-beb3-b2f797a00c9d,💰 General budgeting
c7a76177-e727-4cf7-afc5-ba79f3d72f20,💰 General budgeting
c98b532c-9f19-4a9d-94bf-9478d91898a9,💰 General budgeting
e31e7cf3-9c4b-4da7-be33-db0e0cf4edd7,🏠 Buy a property
1df722a8-757b-41ec-a8e4-9c77f64c24b5,🏠 Buy a property
fcef6ea1-11e2-4b2c-84b6-8a641e0efc92,🏠 Buy a property
a394570c-c696-4b03-ac03-83b908ec8c92,🏠 Buy a property
f6d2e62a-ad44-44dd-97cc-56677d6e4231,🏠 Buy a property
8b8eef1e-4a3e-4939-8769-8a1e6d5439c7,🏠 Buy a property
d97bd490-7f6c-49b6-b35a-60bf696b4948,🏠 Buy a property
599599cb-43fc-469d-8fed-b9560c48e46f,🏠 Buy a property
89479f0d-2e5a-4c5a-82f2-ddc07fafe1f4,🏠 Buy a property
eb2ec654-dbdd-4437-9eda-3b03b1ea13e3,🏠 Buy a property
a4d2cc9d-367a-4ec1-882a-618f34195aa1,🏠 Buy a property
0ba4476e-a542-470c-a41d-2a8c6a45ddc1,🏠 Buy a property
4fd9b407-1238-44c5-ad40-052058484364,🏠 Buy a property
697df7e0-1419-4d7b-a332-5e783e5340a9,🏠 Buy a property
78453eea-170f-4fc8-8ec7-acf44e171650,🏠 Buy a property
48e0b7d4-30dc-4871-88a7-465648af9056,🏠 Buy a property
e04d1ff1-b371-4fea-9abe-7217b3af9c80,🏠 Buy a property
c95a92b9-83cb-4b27-be40-ec99893a09a2,🏠 Buy a property
77e0eea7-d977-4c80-8ee4-cbe6a2bddbb8,🏠 Buy a property
7e253d80-cd1f-4061-8340-b63cbf7dc17c,🏠 Buy a property
ff867bce-cf9e-4c87-a79f-8b4543cf3704,🏠 Buy a property
f847780c-34a5-4365-a9a2-917fc7be46ff,💍 Getting married
82b15fce-7b00-4048-a670-9a87d7fb6eeb,💍 Getting married
f145f774-7eed-429d-9cc5-1f20ba144be4,💍 Getting married
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,💍 Getting married
587caef0-3c16-445f-88b0-d252a67475c7,💍 Getting married
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,🛍 Deals and discounts
542bfa13-54c7-4d79-beb3-b2f797a00c9d,🛍 Deals and discounts
c7a76177-e727-4cf7-afc5-ba79f3d72f20,🛍 Deals and discounts
c98b532c-9f19-4a9d-94bf-9478d91898a9,🛍 Deals and discounts
7888c4c6-ea7a-4081-9a00-8f62b99d16c9,🛍 Deals and discounts
7ba26aee-3c3c-49ff-8232-8c207a4512e0,🛍 Deals and discounts
417aa9c3-d493-47ae-a08c-92e50e8baf4f,🛍 Deals and discounts
df1f963a-7a0c-438b-918c-af3dc205d0fb,🛍 Deals and discounts
e8eccc45-fbfe-488b-a597-60860a21c72e,🛍 Deals and discounts
4fd9b407-1238-44c5-ad40-052058484364,💃 Side Hustles
697df7e0-1419-4d7b-a332-5e783e5340a9,💃 Side Hustles
78453eea-170f-4fc8-8ec7-acf44e171650,💃 Side Hustles
48e0b7d4-30dc-4871-88a7-465648af9056,💃 Side Hustles
e04d1ff1-b371-4fea-9abe-7217b3af9c80,💃 Side Hustles
c95a92b9-83cb-4b27-be40-ec99893a09a2,💃 Side Hustles
77e0eea7-d977-4c80-8ee4-cbe6a2bddbb8,💃 Side Hustles
7e253d80-cd1f-4061-8340-b63cbf7dc17c,💃 Side Hustles
fd1b2bb5-64ca-4542-81d2-b37815973a64,💃 Side Hustles
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,💃 Side Hustles
f48fb093-5161-4314-9fc6-0e62d60cde98,💃 Side Hustles
f145f774-7eed-429d-9cc5-1f20ba144be4,💰 Budgeting with kids
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,💰 Budgeting with kids
587caef0-3c16-445f-88b0-d252a67475c7,💰 Budgeting with kids
8887103e-1841-4cb5-9d31-7d03078dc4cd,💰 Budgeting with kids
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,💰 Budgeting with kids
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,💰 Budgeting with kids
c7a76177-e727-4cf7-afc5-ba79f3d72f20,🌟 Debt free living
c98b532c-9f19-4a9d-94bf-9478d91898a9,🌟 Debt free living
7888c4c6-ea7a-4081-9a00-8f62b99d16c9,🌟 Debt free living
7ba26aee-3c3c-49ff-8232-8c207a4512e0,🌟 Debt free living
417aa9c3-d493-47ae-a08c-92e50e8baf4f,🌟 Debt free living
df1f963a-7a0c-438b-918c-af3dc205d0fb,🌟 Debt free living
e8eccc45-fbfe-488b-a597-60860a21c72e,🌟 Debt free living
af68a333-79aa-40ae-92ea-5e49e20b958c,🌟 Debt free living
e8720508-b732-4e58-82a6-17cfa094012b,🌟 Debt free living
84b367ec-3f12-4040-a0ee-ed37d924f80d,🌟 Debt free living
61277ad3-1a9d-47fa-882b-cc79a8f4ad14,🌟 Debt free living
7e253d80-cd1f-4061-8340-b63cbf7dc17c,📈 Investing
fd1b2bb5-64ca-4542-81d2-b37815973a64,📈 Investing
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,📈 Investing
f48fb093-5161-4314-9fc6-0e62d60cde98,📈 Investing
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,📈 Investing
f847780c-34a5-4365-a9a2-917fc7be46ff,📈 Investing
82b15fce-7b00-4048-a670-9a87d7fb6eeb,📈 Investing
f145f774-7eed-429d-9cc5-1f20ba144be4,📈 Investing
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,📈 Investing
587caef0-3c16-445f-88b0-d252a67475c7,📈 Investing
8887103e-1841-4cb5-9d31-7d03078dc4cd,📈 Investing
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,📈 Investing
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,📈 Investing
1bba933e-800d-4993-b4b7-1c28b06a4d92,📈 Investing
22e95cbb-5472-424c-b732-e64eeea7062a,📈 Investing
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,📈 Investing
eaf1456d-fe19-460b-9b98-ef860fe7b228,📈 Investing
5a1e85f2-a569-464d-a60d-edd981af3e59,📈 Investing
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,📈 Investing
7e253d80-cd1f-4061-8340-b63cbf7dc17c,🚀 Stocks
fd1b2bb5-64ca-4542-81d2-b37815973a64,🚀 Stocks
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,🚀 Stocks
f48fb093-5161-4314-9fc6-0e62d60cde98,🚀 Stocks
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,🚀 Stocks
f847780c-34a5-4365-a9a2-917fc7be46ff,🚀 Stocks
82b15fce-7b00-4048-a670-9a87d7fb6eeb,🚀 Stocks
f145f774-7eed-429d-9cc5-1f20ba144be4,🚀 Stocks
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,🚀 Stocks
587caef0-3c16-445f-88b0-d252a67475c7,🚀 Stocks
8887103e-1841-4cb5-9d31-7d03078dc4cd,🚀 Stocks
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,🚀 Stocks
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,🚀 Stocks
1bba933e-800d-4993-b4b7-1c28b06a4d92,🚀 Stocks
22e95cbb-5472-424c-b732-e64eeea7062a,🚀 Stocks
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,🚀 Stocks
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,🔒 Crypto
587caef0-3c16-445f-88b0-d252a67475c7,🔒 Crypto
8887103e-1841-4cb5-9d31-7d03078dc4cd,🔒 Crypto
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,🔒 Crypto
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,🔒 Crypto
1bba933e-800d-4993-b4b7-1c28b06a4d92,🔒 Crypto
22e95cbb-5472-424c-b732-e64eeea7062a,🔒 Crypto
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,🔒 Crypto
eaf1456d-fe19-460b-9b98-ef860fe7b228,🔒 Crypto
5a1e85f2-a569-464d-a60d-edd981af3e59,🔒 Crypto
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,🔒 Crypto
542bfa13-54c7-4d79-beb3-b2f797a00c9d,🔒 Crypto
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,🚗 Save for a car
f48fb093-5161-4314-9fc6-0e62d60cde98,🚗 Save for a car
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,🚗 Save for a car
f847780c-34a5-4365-a9a2-917fc7be46ff,🚗 Save for a car
82b15fce-7b00-4048-a670-9a87d7fb6eeb,🚗 Save for a car
f145f774-7eed-429d-9cc5-1f20ba144be4,🚗 Save for a car
7e4cb900-a09e-4d1d-8b65-ecd3ef51f132,🚗 Save for a car
587caef0-3c16-445f-88b0-d252a67475c7,🚗 Save for a car
8887103e-1841-4cb5-9d31-7d03078dc4cd,🚗 Save for a car
11046b0b-2eab-4bb9-a8b6-e79d5c04a0e0,🚗 Save for a car
820ebf24-bd6e-4ef6-b811-b6f0f92c8778,🚗 Save for a car
1bba933e-800d-4993-b4b7-1c28b06a4d92,🚗 Save for a car
22e95cbb-5472-424c-b732-e64eeea7062a,🚗 Save for a car
0ce2621f-f7c9-4333-9b3b-2abfabba8c89,🚗 Save for a car
f48fb093-5161-4314-9fc6-0e62d60cde98,🍎 Groceries
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,🍎 Groceries
f847780c-34a5-4365-a9a2-917fc7be46ff,🍎 Groceries
82b15fce-7b00-4048-a670-9a87d7fb6eeb,🍎 Groceries
f145f774-7eed-429d-9cc5-1f20ba144be4,🍎 Groceries
e31e7cf3-9c4b-4da7-be33-db0e0cf4edd7,📈 ETFS
1df722a8-757b-41ec-a8e4-9c77f64c24b5,📈 ETFS
fcef6ea1-11e2-4b2c-84b6-8a641e0efc92,📈 ETFS
a394570c-c696-4b03-ac03-83b908ec8c92,📈 ETFS
f6d2e62a-ad44-44dd-97cc-56677d6e4231,📈 ETFS
8b8eef1e-4a3e-4939-8769-8a1e6d5439c7,📈 ETFS
d97bd490-7f6c-49b6-b35a-60bf696b4948,📈 ETFS
599599cb-43fc-469d-8fed-b9560c48e46f,📈 ETFS
89479f0d-2e5a-4c5a-82f2-ddc07fafe1f4,📈 ETFS
eb2ec654-dbdd-4437-9eda-3b03b1ea13e3,📈 ETFS
ff74ff7d-f40a-497a-a94a-a3e3d9d79fb8,📈 ETFS
c6d23fae-42a0-47d0-bebf-baee6ebd38eb,🔥 FI/RE
f48fb093-5161-4314-9fc6-0e62d60cde98,🔥 FI/RE
e10ec1ee-7f34-4d20-a427-2fe6334fc8d9,🔥 FI/RE
f847780c-34a5-4365-a9a2-917fc7be46ff,🔥 FI/RE
82b15fce-7b00-4048-a670-9a87d7fb6eeb,🔥 FI/RE
f145f774-7eed-429d-9cc5-1f20ba144be4,🔥 FI/RE
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,🛍 Bargains & Sales
542bfa13-54c7-4d79-beb3-b2f797a00c9d,🛍 Bargains & Sales
c7a76177-e727-4cf7-afc5-ba79f3d72f20,🛍 Bargains & Sales
c98b532c-9f19-4a9d-94bf-9478d91898a9,🛍 Bargains & Sales
7888c4c6-ea7a-4081-9a00-8f62b99d16c9,🛍 Bargains & Sales
7ba26aee-3c3c-49ff-8232-8c207a4512e0,🛍 Bargains & Sales
417aa9c3-d493-47ae-a08c-92e50e8baf4f,🛍 Bargains & Sales
df1f963a-7a0c-438b-918c-af3dc205d0fb,💵 Money facts and trivia
13bcbf1c-6cd0-4b5d-9603-91e6e650f405,💵 Money facts and trivia
542bfa13-54c7-4d79-beb3-b2f797a00c9d,💵 Money facts and trivia
c7a76177-e727-4cf7-afc5-ba79f3d72f20,💵 Money facts and trivia
c98b532c-9f19-4a9d-94bf-9478d91898a9,💵 Money facts and trivia
7888c4c6-ea7a-4081-9a00-8f62b99d16c9,💵 Money facts and trivia
7ba26aee-3c3c-49ff-8232-8c207a4512e0,💵 Money facts and trivia
417aa9c3-d493-47ae-a08c-92e50e8baf4f,💸 Reduce my rates on my personal loan
